id	myclass	myid	male	female	age	years
Neonatal_sepsis_and_infections	B	B-Inf	22129032	17494859	0-27 days	0
Neonatal_sepsis_and_infections	B	B-Inf	22129032	17494859	0-27 days	0.07
Neonatal_sepsis_and_infections	B	B-Inf	3332	3549	1-59 months	0.08
Neonatal_sepsis_and_infections	B	B-Inf	3332	3549	1-59 months	4.9
Neonatal_sepsis_and_infections	B	B-Inf	894	12022	5-14 years	5
Neonatal_sepsis_and_infections	B	B-Inf	894	12022	5-14 years	14
Neonatal_sepsis_and_infections	B	B-Inf	30	0	15-29 years	15
Neonatal_sepsis_and_infections	B	B-Inf	30	0	15-29 years	29
Neonatal_sepsis_and_infections	B	B-Inf	558	45	30-49 years	30
Neonatal_sepsis_and_infections	B	B-Inf	558	45	30-49 years	49
Neonatal_sepsis_and_infections	B	B-Inf	0	962	50-59 years	50
Neonatal_sepsis_and_infections	B	B-Inf	0	962	50-59 years	59
Neonatal_sepsis_and_infections	B	B-Inf	382	0	60-69 years	60
Neonatal_sepsis_and_infections	B	B-Inf	382	0	60-69 years	69
Neonatal_sepsis_and_infections	B	B-Inf	72	49	70+ years	70
Neonatal_sepsis_and_infections	B	B-Inf	72	49	70+ years	75
Other_neonatal_conditions	B	B-Oth	6711293	5743324	0-27 days	0
Other_neonatal_conditions	B	B-Oth	6711293	5743324	0-27 days	0.07
Other_neonatal_conditions	B	B-Oth	1748740	1278139	1-59 months	0.08
Other_neonatal_conditions	B	B-Oth	1748740	1278139	1-59 months	4.9
Other_neonatal_conditions	B	B-Oth	0	0	5-14 years	5
Other_neonatal_conditions	B	B-Oth	0	0	5-14 years	14
Other_neonatal_conditions	B	B-Oth	0	0	15-29 years	15
Other_neonatal_conditions	B	B-Oth	0	0	15-29 years	29
Other_neonatal_conditions	B	B-Oth	0	0	30-49 years	30
Other_neonatal_conditions	B	B-Oth	0	0	30-49 years	49
Other_neonatal_conditions	B	B-Oth	0	0	50-59 years	50
Other_neonatal_conditions	B	B-Oth	0	0	50-59 years	59
Other_neonatal_conditions	B	B-Oth	0	0	60-69 years	60
Other_neonatal_conditions	B	B-Oth	0	0	60-69 years	69
Other_neonatal_conditions	B	B-Oth	0	0	70+ years	70
Other_neonatal_conditions	B	B-Oth	0	0	70+ years	75
Preterm_birth_complications	B	B-Pre	50201316	42323350	0-27 days	0
Preterm_birth_complications	B	B-Pre	50201316	42323350	0-27 days	0.07
Preterm_birth_complications	B	B-Pre	7008360	4966992	1-59 months	0.08
Preterm_birth_complications	B	B-Pre	7008360	4966992	1-59 months	4.9
Preterm_birth_complications	B	B-Pre	333866	260429	5-14 years	5
Preterm_birth_complications	B	B-Pre	333866	260429	5-14 years	14
Preterm_birth_complications	B	B-Pre	457116	358537	15-29 years	15
Preterm_birth_complications	B	B-Pre	457116	358537	15-29 years	29
Preterm_birth_complications	B	B-Pre	437920	352116	30-49 years	30
Preterm_birth_complications	B	B-Pre	437920	352116	30-49 years	49
Preterm_birth_complications	B	B-Pre	141980	118341	50-59 years	50
Preterm_birth_complications	B	B-Pre	141980	118341	50-59 years	59
Preterm_birth_complications	B	B-Pre	78921	70790	60-69 years	60
Preterm_birth_complications	B	B-Pre	78921	70790	60-69 years	69
Preterm_birth_complications	B	B-Pre	47809	52632	70+ years	70
Preterm_birth_complications	B	B-Pre	47809	52632	70+ years	75
birthTrauma	B	B-Tra	35778415	27068016	0-27 days	0
birthTrauma	B	B-Tra	35778415	27068016	0-27 days	0.07
birthTrauma	B	B-Tra	3887680	2474584	1-59 months	0.08
birthTrauma	B	B-Tra	3887680	2474584	1-59 months	4.9
birthTrauma	B	B-Tra	910169	605308	5-14 years	5
birthTrauma	B	B-Tra	910169	605308	5-14 years	14
birthTrauma	B	B-Tra	1079352	714126	15-29 years	15
birthTrauma	B	B-Tra	1079352	714126	15-29 years	29
birthTrauma	B	B-Tra	854928	577718	30-49 years	30
birthTrauma	B	B-Tra	854928	577718	30-49 years	49
birthTrauma	B	B-Tra	226993	157062	50-59 years	50
birthTrauma	B	B-Tra	226993	157062	50-59 years	59
birthTrauma	B	B-Tra	104353	77086	60-69 years	60
birthTrauma	B	B-Tra	104353	77086	60-69 years	69
birthTrauma	B	B-Tra	44927	39041	70+ years	70
birthTrauma	B	B-Tra	44927	39041	70+ years	75
carditis	C	C-Car	0	0	0-27 days	0
carditis	C	C-Car	0	0	0-27 days	0.07
carditis	C	C-Car	595523	495759	1-59 months	0.08
carditis	C	C-Car	595523	495759	1-59 months	4.9
carditis	C	C-Car	342641	314282	5-14 years	5
carditis	C	C-Car	342641	314282	5-14 years	14
carditis	C	C-Car	925747	580076	15-29 years	15
carditis	C	C-Car	925747	580076	15-29 years	29
carditis	C	C-Car	2363570	967196	30-49 years	30
carditis	C	C-Car	2363570	967196	30-49 years	49
carditis	C	C-Car	1759938	762950	50-59 years	50
carditis	C	C-Car	1759938	762950	50-59 years	59
carditis	C	C-Car	1560246	847018	60-69 years	60
carditis	C	C-Car	1560246	847018	60-69 years	69
carditis	C	C-Car	1569045	1519122	70+ years	70
carditis	C	C-Car	1569045	1519122	70+ years	75
HypertensiveHeart	C	C-Hyp	276	157	0-27 days	0
HypertensiveHeart	C	C-Hyp	276	157	0-27 days	0.07
HypertensiveHeart	C	C-Hyp	64462	111573	1-59 months	0.08
HypertensiveHeart	C	C-Hyp	64462	111573	1-59 months	4.9
HypertensiveHeart	C	C-Hyp	57899	90664	5-14 years	5
HypertensiveHeart	C	C-Hyp	57899	90664	5-14 years	14
HypertensiveHeart	C	C-Hyp	347070	271166	15-29 years	15
HypertensiveHeart	C	C-Hyp	347070	271166	15-29 years	29
HypertensiveHeart	C	C-Hyp	1641273	1223486	30-49 years	30
HypertensiveHeart	C	C-Hyp	1641273	1223486	30-49 years	49
HypertensiveHeart	C	C-Hyp	2128397	1704219	50-59 years	50
HypertensiveHeart	C	C-Hyp	2128397	1704219	50-59 years	59
HypertensiveHeart	C	C-Hyp	2798458	2579719	60-69 years	60
HypertensiveHeart	C	C-Hyp	2798458	2579719	60-69 years	69
HypertensiveHeart	C	C-Hyp	4236984	6152892	70+ years	70
HypertensiveHeart	C	C-Hyp	4236984	6152892	70+ years	75
Ischaemic_heart_disease	C	C-Isc	567	435	0-27 days	0
Ischaemic_heart_disease	C	C-Isc	567	435	0-27 days	0.07
Ischaemic_heart_disease	C	C-Isc	399266	367876	1-59 months	0.08
Ischaemic_heart_disease	C	C-Isc	399266	367876	1-59 months	4.9
Ischaemic_heart_disease	C	C-Isc	352343	325905	5-14 years	5
Ischaemic_heart_disease	C	C-Isc	352343	325905	5-14 years	14
Ischaemic_heart_disease	C	C-Isc	3087758	1798435	15-29 years	15
Ischaemic_heart_disease	C	C-Isc	3087758	1798435	15-29 years	29
Ischaemic_heart_disease	C	C-Isc	16645677	6434807	30-49 years	30
Ischaemic_heart_disease	C	C-Isc	16645677	6434807	30-49 years	49
Ischaemic_heart_disease	C	C-Isc	21414451	9093441	50-59 years	50
Ischaemic_heart_disease	C	C-Isc	21414451	9093441	50-59 years	59
Ischaemic_heart_disease	C	C-Isc	24470375	14260944	60-69 years	60
Ischaemic_heart_disease	C	C-Isc	24470375	14260944	60-69 years	69
Ischaemic_heart_disease	C	C-Isc	32208391	34856539	70+ years	70
Ischaemic_heart_disease	C	C-Isc	32208391	34856539	70+ years	75
Other_circulatory_diseases	C	C-Oth	0	0	0-27 days	0
Other_circulatory_diseases	C	C-Oth	0	0	0-27 days	0.07
Other_circulatory_diseases	C	C-Oth	448766	650008	1-59 months	0.08
Other_circulatory_diseases	C	C-Oth	448766	650008	1-59 months	4.9
Other_circulatory_diseases	C	C-Oth	607936	590812	5-14 years	5
Other_circulatory_diseases	C	C-Oth	607936	590812	5-14 years	14
Other_circulatory_diseases	C	C-Oth	1220214	1284789	15-29 years	15
Other_circulatory_diseases	C	C-Oth	1220214	1284789	15-29 years	29
Other_circulatory_diseases	C	C-Oth	2904597	2498188	30-49 years	30
Other_circulatory_diseases	C	C-Oth	2904597	2498188	30-49 years	49
Other_circulatory_diseases	C	C-Oth	2729980	1995738	50-59 years	50
Other_circulatory_diseases	C	C-Oth	2729980	1995738	50-59 years	59
Other_circulatory_diseases	C	C-Oth	3670486	2623175	60-69 years	60
Other_circulatory_diseases	C	C-Oth	3670486	2623175	60-69 years	69
Other_circulatory_diseases	C	C-Oth	7122468	8426751	70+ years	70
Other_circulatory_diseases	C	C-Oth	7122468	8426751	70+ years	75
Rheumatic_heart_disease	C	C-Rhe	42	91	0-27 days	0
Rheumatic_heart_disease	C	C-Rhe	42	91	0-27 days	0.07
Rheumatic_heart_disease	C	C-Rhe	68636	101637	1-59 months	0.08
Rheumatic_heart_disease	C	C-Rhe	68636	101637	1-59 months	4.9
Rheumatic_heart_disease	C	C-Rhe	338647	452777	5-14 years	5
Rheumatic_heart_disease	C	C-Rhe	338647	452777	5-14 years	14
Rheumatic_heart_disease	C	C-Rhe	874877	1045277	15-29 years	15
Rheumatic_heart_disease	C	C-Rhe	874877	1045277	15-29 years	29
Rheumatic_heart_disease	C	C-Rhe	1559007	1479257	30-49 years	30
Rheumatic_heart_disease	C	C-Rhe	1559007	1479257	30-49 years	49
Rheumatic_heart_disease	C	C-Rhe	944289	982241	50-59 years	50
Rheumatic_heart_disease	C	C-Rhe	944289	982241	50-59 years	59
Rheumatic_heart_disease	C	C-Rhe	841770	1015368	60-69 years	60
Rheumatic_heart_disease	C	C-Rhe	841770	1015368	60-69 years	69
Rheumatic_heart_disease	C	C-Rhe	905047	1344887	70+ years	70
Rheumatic_heart_disease	C	C-Rhe	905047	1344887	70+ years	75
Stroke	C	C-Str	0	0	0-27 days	0
Stroke	C	C-Str	0	0	0-27 days	0.07
Stroke	C	C-Str	314	216	1-59 months	0.08
Stroke	C	C-Str	314	216	1-59 months	4.9
Stroke	C	C-Str	632648	536811	5-14 years	5
Stroke	C	C-Str	632648	536811	5-14 years	14
Stroke	C	C-Str	2139814	1638848	15-29 years	15
Stroke	C	C-Str	2139814	1638848	15-29 years	29
Stroke	C	C-Str	8644960	6316390	30-49 years	30
Stroke	C	C-Str	8644960	6316390	30-49 years	49
Stroke	C	C-Str	13003318	9599552	50-59 years	50
Stroke	C	C-Str	13003318	9599552	50-59 years	59
Stroke	C	C-Str	19398422	15152870	60-69 years	60
Stroke	C	C-Str	19398422	15152870	60-69 years	69
Stroke	C	C-Str	29119291	35164628	70+ years	70
Stroke	C	C-Str	29119291	35164628	70+ years	75
Appendicitis	D	D-App	72	34	0-27 days	0
Appendicitis	D	D-App	72	34	0-27 days	0.07
Appendicitis	D	D-App	135638	112009	1-59 months	0.08
Appendicitis	D	D-App	135638	112009	1-59 months	4.9
Appendicitis	D	D-App	226042	222631	5-14 years	5
Appendicitis	D	D-App	226042	222631	5-14 years	14
Appendicitis	D	D-App	223238	157177	15-29 years	15
Appendicitis	D	D-App	223238	157177	15-29 years	29
Appendicitis	D	D-App	205656	124867	30-49 years	30
Appendicitis	D	D-App	205656	124867	30-49 years	49
Appendicitis	D	D-App	101692	70623	50-59 years	50
Appendicitis	D	D-App	101692	70623	50-59 years	59
Appendicitis	D	D-App	96105	75423	60-69 years	60
Appendicitis	D	D-App	96105	75423	60-69 years	69
Appendicitis	D	D-App	85442	91503	70+ years	70
Appendicitis	D	D-App	85442	91503	70+ years	75
Cirrohsis	D	D-Cir	178	151	0-27 days	0
Cirrohsis	D	D-Cir	178	151	0-27 days	0.07
Cirrohsis	D	D-Cir	390313	405768	1-59 months	0.08
Cirrohsis	D	D-Cir	390313	405768	1-59 months	4.9
Cirrohsis	D	D-Cir	437722	439139	5-14 years	5
Cirrohsis	D	D-Cir	437722	439139	5-14 years	14
Cirrohsis	D	D-Cir	1394770	827477	15-29 years	15
Cirrohsis	D	D-Cir	1394770	827477	15-29 years	29
Cirrohsis	D	D-Cir	8718719	2819729	30-49 years	30
Cirrohsis	D	D-Cir	8718719	2819729	30-49 years	49
Cirrohsis	D	D-Cir	6792494	2654522	50-59 years	50
Cirrohsis	D	D-Cir	6792494	2654522	50-59 years	59
Cirrohsis	D	D-Cir	4584598	2372605	60-69 years	60
Cirrohsis	D	D-Cir	4584598	2372605	60-69 years	69
Cirrohsis	D	D-Cir	2317135	1884417	70+ years	70
Cirrohsis	D	D-Cir	2317135	1884417	70+ years	75
Iodine_deficiency	D	D-Iod	12	43	0-27 days	0
Iodine_deficiency	D	D-Iod	12	43	0-27 days	0.07
Iodine_deficiency	D	D-Iod	36795	48516	1-59 months	0.08
Iodine_deficiency	D	D-Iod	36795	48516	1-59 months	4.9
Iodine_deficiency	D	D-Iod	230129	353208	5-14 years	5
Iodine_deficiency	D	D-Iod	230129	353208	5-14 years	14
Iodine_deficiency	D	D-Iod	592891	914091	15-29 years	15
Iodine_deficiency	D	D-Iod	592891	914091	15-29 years	29
Iodine_deficiency	D	D-Iod	493079	788418	30-49 years	30
Iodine_deficiency	D	D-Iod	493079	788418	30-49 years	49
Iodine_deficiency	D	D-Iod	135926	233423	50-59 years	50
Iodine_deficiency	D	D-Iod	135926	233423	50-59 years	59
Iodine_deficiency	D	D-Iod	75298	140302	60-69 years	60
Iodine_deficiency	D	D-Iod	75298	140302	60-69 years	69
Iodine_deficiency	D	D-Iod	47441	108786	70+ years	70
Iodine_deficiency	D	D-Iod	47441	108786	70+ years	75
Iron_deficiency_anaemia	D	D-Iro	2972	4975	0-27 days	0
Iron_deficiency_anaemia	D	D-Iro	2972	4975	0-27 days	0.07
Iron_deficiency_anaemia	D	D-Iro	8049175	7363167	1-59 months	0.08
Iron_deficiency_anaemia	D	D-Iro	8049175	7363167	1-59 months	4.9
Iron_deficiency_anaemia	D	D-Iro	6544773	5422041	5-14 years	5
Iron_deficiency_anaemia	D	D-Iro	6544773	5422041	5-14 years	14
Iron_deficiency_anaemia	D	D-Iro	2473050	5723613	15-29 years	15
Iron_deficiency_anaemia	D	D-Iro	2473050	5723613	15-29 years	29
Iron_deficiency_anaemia	D	D-Iro	1946520	4808855	30-49 years	30
Iron_deficiency_anaemia	D	D-Iro	1946520	4808855	30-49 years	49
Iron_deficiency_anaemia	D	D-Iro	795850	1500590	50-59 years	50
Iron_deficiency_anaemia	D	D-Iro	795850	1500590	50-59 years	59
